Tipo Registrante,Gruppo Sconto,Cod.,Denominazione,Indirizzo,Cap,Città,Prov.,Regione,Nazione,Partita Iva,Codice fiscale,Elenco dest.,Nome Azienda,Extra 2,Note,Num. listino,Sconti,Banca,Pagamento,Fatt. con Iva,Rif. Persona,Desc. Tel. 1,Tel. 1,Desc. Tel. 2,Tel. 2,Desc. Tel. 3,Tel. 3,Cell,Fax,e-mail,Home page,Login web,Conto reg.,Note doc.
Professionista,A,EXT11330,Ruggiero Michela,"Corso Vittorio Emanuele, 72",10124,Torino,TO,Piemonte,Italia,,RGGMHL89E46L219,,,,,,,Banco BPM,Bonifico bancario 30gg,Sì,Michela Ruggiero,Casa,0498756439,,,,,3436458839,,michela.ruggiero50@libero.it,,,,
Azienda,B,EXT14580,Ferrari Claudio,"Via Marconi, 96",00118,Roma,RM,Lazio,Italia,,FRRCLD59E17H501,,,,,,,Banca Mediolanum,Contanti,No,Claudio Ferrari,Casa,0129142641,,,,,3799470969,,claudio.ferrari71@gmail.com,,,,
Privato,A,PAZ04050,Sorrentino Giorgio,"Via XX Settembre, 5",80122,Napoli,NA,Campania,Italia,,SRRGRG98A17F839,,,,,,,BPER Banca,PayPal,Sì,Giorgio Sorrentino,Casa,0959920424,,,,,3899300939,,giorgio.sorrentino24@gmail.com,,,,
Azienda,A,EXT10514,Marino Simone,"Via Marconi, 46",10123,Torino,TO,Piemonte,Italia,,MRNSMN96P19L219,,,,,,,BPER Banca,PayPal,No,Simone Marino,Casa,0591372236,,,,,3736213156,,simone.marino44@libero.it,,,,
Privato,,EXT11627,Caruso Pietro,"Via Nazionale, 128",80121,Napoli,NA,Campania,Italia,,CRSPTR89E25F839,,,,,,,Banco BPM,Carta di credito,No,Pietro Caruso,Casa,0571956881,,,,,3967409151,,pietro.caruso57@gmail.com,,,,
Privato,A,EXT12453,Coppola Michela,"Via Mazzini, 147",00121,Roma,RM,Lazio,Italia,,CPPMHL62E57H501,,,,,,,Banca MPS,RID bancario,No,Michela Coppola,Casa,0978325066,,,,,3887353805,,michela.coppola95@libero.it,,,,
Professionista,A,EXT14772,Vitale Alessandro,"Via della Libertà, 147",20122,Milano,MI,Lombardia,Italia,,VTLLSN86A18F205,,,,,,,Banca Mediolanum,Carta di credito,Sì,Alessandro Vitale,Casa,0954710719,,,,,3612355609,,alessandro.vitale29@gmail.com,,,,
Professionista,C,PAZ02762,Piras Serena,"Viale Europa, 52",10123,Torino,TO,Piemonte,Italia,,PRSSRN94M54L219,,,,,,,Banca Mediolanum,PayPal,No,Serena Piras,Casa,0639644920,,,,,3959776554,,serena.piras97@gmail.com,,,,
Privato,B,EXT14742,Pagano Luca,"Via Dante, 170",20124,Milano,MI,Lombardia,Italia,,PGNLCU60B03F205,,,,,,,Poste Italiane - BancoPosta,RID bancario,No,Luca Pagano,Casa,0269909028,,,,,3858149825,,luca.pagano2@libero.it,,,,
Privato,A,PAZ06387,Messina Lorenzo,"Via Milano, 67",10125,Torino,TO,Piemonte,Italia,,MSSLNZ66S04L219,,,,,,,UniCredit,Carta di credito,No,Lorenzo Messina,Casa,0659500308,,,,,3595895329,,lorenzo.messina37@gmail.com,,,,
Privato,,PAZ03685,Marino Silvia,"Via Leopardi, 2",10125,Torino,TO,Piemonte,Italia,,MRNSLV54R49L219,,,,,,,Poste Italiane - BancoPosta,Carta di credito,No,Silvia Marino,Casa,0526716792,,,,,3168135510,,silvia.marino79@libero.it,,,,
Professionista,A,PAZ05062,Fabbri Gianluca,"Via Mazzini, 130",20121,Milano,MI,Lombardia,Italia,,FBBGLC05L04F205,,,,,,,Banco BPM,Assegno bancario,No,Gianluca Fabbri,Casa,0311681520,,,,,3817808546,,gianluca.fabbri25@libero.it,,,,
Privato,A,PAZ03602,De Angelis Antonio,"Via IV Novembre, 180",00118,Roma,RM,Lazio,Italia,,DNGNTN69E13H501,,,,,,,Banco BPM,Contanti,No,Antonio De Angelis,Casa,0123503613,,,,,3210199118,,antonio.deangelis52@gmail.com,,,,
Privato,C,EXT11765,Russo Federico,"Via Cavour, 19",20124,Milano,MI,Lombardia,Italia,,RSSFRC55L15F205,,,,,,,Banca MPS,Contanti,Sì,Federico Russo,Casa,0752914700,,,,,3823728102,,federico.russo32@libero.it,,,,
Privato,C,EXT14777,Napolitano Vincenzo,"Via Leopardi, 29",00100,Roma,RM,Lazio,Italia,,NPLVCN99S17H501,,,,,,,Banca MPS,Bonifico bancario 30gg,Sì,Vincenzo Napolitano,Casa,0718321266,,,,,3682386091,,vincenzo.napolitano99@libero.it,,,,
Privato,,PAZ01446,Greco Daniele,"Corso Vittorio Emanuele, 150",10124,Torino,TO,Piemonte,Italia,,GRCDNL44T22L219,,,,,,,Poste Italiane - BancoPosta,Carta di credito,No,Daniele Greco,Casa,0331892287,,,,,3363647899,,daniele.greco10@gmail.com,,,,
Privato,A,PAZ09373,Messina Cinzia,"Via della Libertà, 174",00100,Roma,RM,Lazio,Italia,,MSSCNZ51L61H501,,,,,,,BPER Banca,Assegno bancario,No,Cinzia Messina,Casa,0591001826,,,,,3914089958,,cinzia.messina75@libero.it,,,,
Privato,B,PAZ01020,Pellegrini Andrea,"Via Verdi, 101",20124,Milano,MI,Lombardia,Italia,,PLLNDR96E19F205,,,,,,,Banca Intesa Sanpaolo,RID bancario,Sì,Andrea Pellegrini,Casa,0722293936,,,,,3185089932,,andrea.pellegrini55@libero.it,,,,
Privato,B,PAZ00705,Piccolo Elena,"Corso Umberto I, 174",84123,Salerno,SA,Campania,Italia,,PCCLNE53M44H703,,,,,,,BPER Banca,Bonifico bancario 30gg,Sì,Elena Piccolo,Casa,0832925352,,,,,3463057427,,elena.piccolo45@gmail.com,,,,
Privato,,PAZ06427,Esposito Riccardo,"Via Garibaldi, 163",20124,Milano,MI,Lombardia,Italia,,SPSRCR90L19F205,,,,,,,Poste Italiane - BancoPosta,Bonifico bancario 30gg,Sì,Riccardo Esposito,Casa,0307969615,,,,,3919331116,,riccardo.esposito11@gmail.com,,,,
Privato,B,PAZ01866,Costa Luca,"Via Tasso, 135",00118,Roma,RM,Lazio,Italia,,CSTLCU51D26H501,,,,,,,BPER Banca,Contanti,No,Luca Costa,Casa,0946125863,,,,,3622421868,,luca.costa2@libero.it,,,,
Privato,B,EXT12830,Leone Lucia,"Via Leopardi, 144",84125,Salerno,SA,Campania,Italia,,LNELCU91B57H703,,,,,,,Banca Mediolanum,Bonifico bancario 30gg,Sì,Lucia Leone,Casa,0289196045,,,,,3685331717,,lucia.leone82@libero.it,,,,
Privato,C,PAZ07487,Cattaneo Martina,"Via Dante, 83",10121,Torino,TO,Piemonte,Italia,,CTTMTN00M43L219,,,,,,,Poste Italiane - BancoPosta,Assegno bancario,Sì,Martina Cattaneo,Casa,0202692708,,,,,3826997216,,martina.cattaneo94@libero.it,,,,
Privato,B,PAZ06939,Marino Giorgio,"Via Marconi, 42",80122,Napoli,NA,Campania,Italia,,MRNGRG02L05F839,,,,,,,Banca MPS,Contanti,Sì,Giorgio Marino,Casa,0651409221,,,,,3511679891,,giorgio.marino92@gmail.com,,,,
Privato,C,EXT11719,Russo Carlo,"Via della Repubblica, 127",20125,Milano,MI,Lombardia,Italia,,RSSCRL44P22F205,,,,,,,Banco BPM,Bonifico bancario 30gg,Sì,Carlo Russo,Casa,0752190875,,,,,3219550819,,carlo.russo98@libero.it,,,,
Privato,A,PAZ02574,Palumbo Roberto,"Corso Italia, 135",80121,Napoli,NA,Campania,Italia,,PLMRRT63R05F839,,,,,,,Banca MPS,PayPal,Sì,Roberto Palumbo,Casa,0956431586,,,,,3118987274,,roberto.palumbo61@gmail.com,,,,
Privato,A,EXT12100,Fabbri Alberto,"Via Leopardi, 112",00100,Roma,RM,Lazio,Italia,,FBBLRT56H26H501,,,,,,,Poste Italiane - BancoPosta,Carta di credito,No,Alberto Fabbri,Casa,0432054698,,,,,3360529638,,alberto.fabbri58@libero.it,,,,
Privato,C,PAZ02956,Testa Alberto,"Via Roma, 55",80131,Napoli,NA,Campania,Italia,,TSTLRT69A10F839,,,,,,,Banca MPS,RID bancario,Sì,Alberto Testa,Casa,0567474560,,,,,3495385684,,alberto.testa61@libero.it,,,,
Professionista,,PAZ08054,Sartori Angelo,"Via IV Novembre, 114",20123,Milano,MI,Lombardia,Italia,,SRTNGL60B11F205,,,,,,,Poste Italiane - BancoPosta,Bonifico bancario 30gg,No,Angelo Sartori,Casa,0474703085,,,,,3028064776,,angelo.sartori58@gmail.com,,,,
Azienda,B,PAZ03742,Marchetti Teresa,"Corso Vittorio Emanuele, 93",20123,Milano,MI,Lombardia,Italia,,MRCTRS00T64F205,,,,,,,Poste Italiane - BancoPosta,PayPal,Sì,Teresa Marchetti,Casa,0293616608,,,,,3277992282,,teresa.marchetti77@libero.it,,,,
Professionista,C,PAZ03914,Esposito Alessandra,"Via XX Settembre, 80",80121,Napoli,NA,Campania,Italia,,SPSLSN64T60F839,,,,,,,Banco BPM,RID bancario,No,Alessandra Esposito,Casa,0323913302,,,,,3939521574,,alessandra.esposito22@gmail.com,,,,
Professionista,,PAZ09320,Monti Giorgio,"Via Roma, 182",20121,Milano,MI,Lombardia,Italia,,MNTGRG83R13F205,,,,,,,BPER Banca,Assegno bancario,No,Giorgio Monti,Casa,0493575827,,,,,3899277501,,giorgio.monti15@libero.it,,,,
Privato,C,EXT10911,Cattaneo Laura,"Viale Europa, 173",00118,Roma,RM,Lazio,Italia,,CTTLRA85S57H501,,,,,,,UniCredit,Bonifico bancario 30gg,Sì,Laura Cattaneo,Casa,0583628155,,,,,3858977886,,laura.cattaneo37@libero.it,,,,
Privato,C,PAZ01419,Coppola Alessandro,"Via della Repubblica, 53",80132,Napoli,NA,Campania,Italia,,CPPLSN02T04F839,,,,,,,UniCredit,Bonifico bancario 30gg,Sì,Alessandro Coppola,Casa,0682955810,,,,,3521604452,,alessandro.coppola96@gmail.com,,,,
Azienda,B,PAZ01103,Ferrari Michela,"Via Leopardi, 175",80132,Napoli,NA,Campania,Italia,,FRRMHL01T57F839,,,,,,,Banca Mediolanum,Assegno bancario,Sì,Michela Ferrari,Casa,0719041455,,,,,3052942055,,michela.ferrari55@libero.it,,,,
Privato,B,PAZ06699,Ricci Roberto,"Via Garibaldi, 150",20123,Milano,MI,Lombardia,Italia,,RCCRRT71A28F205,,,,,,,Banca Intesa Sanpaolo,RID bancario,No,Roberto Ricci,Casa,0113815383,,,,,3431967149,,roberto.ricci83@gmail.com,,,,
Privato,C,EXT12371,Gallo Ilaria,"Via XX Settembre, 109",10122,Torino,TO,Piemonte,Italia,,GLLLRI94H60L219,,,,,,,Poste Italiane - BancoPosta,RID bancario,No,Ilaria Gallo,Casa,0519756310,,,,,3141836089,,ilaria.gallo73@gmail.com,,,,
Privato,A,PAZ07839,Gallo Roberto,"Piazza del Comune, 85",20121,Milano,MI,Lombardia,Italia,,GLLRRT62H04F205,,,,,,,Banco BPM,Assegno bancario,No,Roberto Gallo,Casa,0913373887,,,,,3325434175,,roberto.gallo45@gmail.com,,,,
Professionista,C,EXT10358,Gallo Claudia,"Via Leopardi, 88",00136,Roma,RM,Lazio,Italia,,GLLCLD69H41H501,,,,,,,Banca MPS,Carta di credito,No,Claudia Gallo,Casa,0844891567,,,,,3390141632,,claudia.gallo16@libero.it,,,,
Azienda,A,PAZ01558,Marini Mario,"Via Cavour, 9",84122,Salerno,SA,Campania,Italia,,MRNMRA98R20H703,,,,,,,Banca Intesa Sanpaolo,Bonifico bancario 30gg,Sì,Mario Marini,Casa,0306767243,,,,,3386829414,,mario.marini28@libero.it,,,,
Privato,A,PAZ06556,Sartori Giuseppe,"Via Milano, 46",20124,Milano,MI,Lombardia,Italia,,SRTGPP79T03F205,,,,,,,BPER Banca,RID bancario,Sì,Giuseppe Sartori,Casa,0524847801,,,,,3388801109,,giuseppe.sartori19@libero.it,,,,
Privato,A,PAZ07091,Costa Roberto,"Via Mazzini, 102",00136,Roma,RM,Lazio,Italia,,CSTRRT51A22H501,,,,,,,BPER Banca,Bonifico bancario 30gg,No,Roberto Costa,Casa,0347331116,,,,,3064904474,,roberto.costa79@libero.it,,,,
Privato,B,PAZ08441,Conti Enrico,"Viale Europa, 198",80121,Napoli,NA,Campania,Italia,,CNTNRC52H27F839,,,,,,,Banca MPS,Bonifico bancario 30gg,No,Enrico Conti,Casa,0583982200,,,,,3849488014,,enrico.conti37@gmail.com,,,,
Privato,B,EXT12818,Ferrari Paolo,"Via Cavour, 40",80132,Napoli,NA,Campania,Italia,,FRRPLA64L14F839,,,,,,,Banco BPM,Assegno bancario,Sì,Paolo Ferrari,Casa,0307108266,,,,,3797343780,,paolo.ferrari68@gmail.com,,,,
Professionista,C,PAZ03523,Napolitano Simone,"Via Nazionale, 112",00118,Roma,RM,Lazio,Italia,,NPLSMN70L19H501,,,,,,,BPER Banca,PayPal,No,Simone Napolitano,Casa,0635467337,,,,,3349578089,,simone.napolitano95@gmail.com,,,,
Privato,B,PAZ04542,Romano Carlo,"Corso Umberto I, 79",10124,Torino,TO,Piemonte,Italia,,RMNCRL50T25L219,,,,,,,Poste Italiane - BancoPosta,RID bancario,No,Carlo Romano,Casa,0794136620,,,,,3061155089,,carlo.romano81@libero.it,,,,
Privato,A,PAZ00034,Villa Marco,"Via IV Novembre, 108",00100,Roma,RM,Lazio,Italia,,VLLMRC71E05H501,,,,,,,Poste Italiane - BancoPosta,PayPal,Sì,Marco Villa,Casa,0666346556,,,,,3371777032,,marco.villa53@gmail.com,,,,
Privato,A,PAZ03400,Amato Sara,"Via Cavour, 135",00100,Roma,RM,Lazio,Italia,,MTASRA05D68H501,,,,,,,Poste Italiane - BancoPosta,PayPal,Sì,Sara Amato,Casa,0398032455,,,,,3621961907,,sara.amato12@libero.it,,,,
Privato,B,EXT14521,Ferrari Gianluca,"Via Garibaldi, 24",80132,Napoli,NA,Campania,Italia,,FRRGLC67C22F839,,,,,,,Banca Intesa Sanpaolo,Assegno bancario,No,Gianluca Ferrari,Casa,0225237577,,,,,3093359269,,gianluca.ferrari12@gmail.com,,,,
Privato,,PAZ05605,Piccolo Fabio,"Via della Repubblica, 111",00141,Roma,RM,Lazio,Italia,,PCCFBA81H21H501,,,,,,,Poste Italiane - BancoPosta,Bonifico bancario 30gg,Sì,Fabio Piccolo,Casa,0861543298,,,,,3934269173,,fabio.piccolo59@libero.it,,,,
Azienda,C,PAZ08821,Santoro Alessandra,"Via Dante, 4",84123,Salerno,SA,Campania,Italia,,SNTLSN67E41H703,,,,,,,BPER Banca,Assegno bancario,No,Alessandra Santoro,Casa,0616997668,,,,,3423209669,,alessandra.santoro31@gmail.com,,,,
Privato,B,EXT14889,Sartori Alberto,"Corso Italia, 16",20123,Milano,MI,Lombardia,Italia,,SRTLRT79M02F205,,,,,,,Banca Intesa Sanpaolo,Assegno bancario,Sì,Alberto Sartori,Casa,0769052353,,,,,3683269986,,alberto.sartori92@libero.it,,,,
Privato,,PAZ07233,Vitale Elena,"Corso Italia, 170",84122,Salerno,SA,Campania,Italia,,VTLLNE99L41H703,,,,,,,Banca Mediolanum,Contanti,No,Elena Vitale,Casa,0899693717,,,,,3229320945,,elena.vitale73@gmail.com,,,,
Professionista,,PAZ02652,Santoro Salvatore,"Via Tasso, 23",84121,Salerno,SA,Campania,Italia,,SNTSVT67T24H703,,,,,,,Banco BPM,Carta di credito,Sì,Salvatore Santoro,Casa,0576714809,,,,,3639691601,,salvatore.santoro7@libero.it,,,,
Privato,C,PAZ05328,Barbieri Angelo,"Via della Repubblica, 114",20125,Milano,MI,Lombardia,Italia,,BRBNGL37C26F205,,,,,,,Banco BPM,Bonifico bancario 30gg,No,Angelo Barbieri,Casa,0746134841,,,,,3616615700,,angelo.barbieri8@gmail.com,,,,
Privato,,PAZ05905,Bruno Fabio,"Via Cavour, 11",20125,Milano,MI,Lombardia,Italia,,BRNFBA41M21F205,,,,,,,Banco BPM,RID bancario,Sì,Fabio Bruno,Casa,0514782652,,,,,3772755639,,fabio.bruno5@libero.it,,,,
Professionista,C,PAZ05945,Caruso Francesco,"Via Cavour, 99",10123,Torino,TO,Piemonte,Italia,,CRSFNC72T10L219,,,,,,,Banca MPS,RID bancario,No,Francesco Caruso,Casa,0889570596,,,,,3345670915,,francesco.caruso56@gmail.com,,,,
Privato,C,EXT13352,Mancini Giulia,"Via Matteotti, 126",20125,Milano,MI,Lombardia,Italia,,MNCGLI86E54F205,,,,,,,Poste Italiane - BancoPosta,Bonifico bancario 30gg,No,Giulia Mancini,Casa,0283434440,,,,,3984939542,,giulia.mancini28@gmail.com,,,,
Professionista,B,EXT12194,Marino Beatrice,"Via Mazzini, 116",00136,Roma,RM,Lazio,Italia,,MRNBRC92D55H501,,,,,,,UniCredit,Bonifico bancario 30gg,Sì,Beatrice Marino,Casa,0558020500,,,,,3697255551,,beatrice.marino52@gmail.com,,,,
Privato,B,EXT12242,Bruno Serena,"Via della Repubblica, 49",20123,Milano,MI,Lombardia,Italia,,BRNSRN92E52F205,,,,,,,Banca MPS,RID bancario,Sì,Serena Bruno,Casa,0357018255,,,,,3934118269,,serena.bruno63@libero.it,,,,
Azienda,,EXT11997,Fontana Alessandro,"Via Roma, 39",10124,Torino,TO,Piemonte,Italia,,FNTLSN76P17L219,,,,,,,Banca MPS,RID bancario,Sì,Alessandro Fontana,Casa,0461991641,,,,,3389943598,,alessandro.fontana58@libero.it,,,,
Privato,B,PAZ00292,Ferretti Paola,"Via Dante, 150",00121,Roma,RM,Lazio,Italia,,FRRPLA62P64H501,,,,,,,Banca MPS,Contanti,Sì,Paola Ferretti,Casa,0811633734,,,,,3594380967,,paola.ferretti64@gmail.com,,,,
Privato,C,PAZ02836,Giordano Paolo,"Via Napoli, 57",20125,Milano,MI,Lombardia,Italia,,GRDPLA00D21F205,,,,,,,Poste Italiane - BancoPosta,RID bancario,No,Paolo Giordano,Casa,0858275749,,,,,3435535917,,paolo.giordano86@libero.it,,,,
Azienda,A,EXT10944,Sartori Angela,"Via Napoli, 65",10123,Torino,TO,Piemonte,Italia,,SRTNGL92C50L219,,,,,,,UniCredit,Bonifico bancario 30gg,Sì,Angela Sartori,Casa,0295126473,,,,,3493118599,,angela.sartori63@libero.it,,,,
Azienda,B,EXT13268,Testa Angelo,"Via Garibaldi, 174",84122,Salerno,SA,Campania,Italia,,TSTNGL38R22H703,,,,,,,UniCredit,Contanti,No,Angelo Testa,Casa,0993359389,,,,,3473850838,,angelo.testa13@gmail.com,,,,
Privato,,EXT11550,Russo Francesca,"Corso Vittorio Emanuele, 85",84124,Salerno,SA,Campania,Italia,,RSSFNC82P53H703,,,,,,,Banca MPS,RID bancario,No,Francesca Russo,Casa,0742554434,,,,,3040424453,,francesca.russo37@gmail.com,,,,
Azienda,A,PAZ02870,Ferrara Vincenzo,"Via IV Novembre, 69",20122,Milano,MI,Lombardia,Italia,,FRRVCN66E02F205,,,,,,,Banca MPS,PayPal,Sì,Vincenzo Ferrara,Casa,0852805933,,,,,3158083370,,vincenzo.ferrara62@gmail.com,,,,
Privato,C,PAZ07677,Esposito Alessandra,"Via Verdi, 137",10122,Torino,TO,Piemonte,Italia,,SPSLSN82T68L219,,,,,,,BPER Banca,PayPal,Sì,Alessandra Esposito,Casa,0712048411,,,,,3761560423,,alessandra.esposito26@gmail.com,,,,
Privato,,PAZ08249,Fabbri Andrea,"Via Dante, 152",20121,Milano,MI,Lombardia,Italia,,FBBNDR84P14F205,,,,,,,UniCredit,Contanti,Sì,Andrea Fabbri,Casa,0217400380,,,,,3880837190,,andrea.fabbri11@libero.it,,,,
Privato,C,EXT10317,Pagano Sara,"Via Cavour, 91",10123,Torino,TO,Piemonte,Italia,,PGNSRA51C52L219,,,,,,,Banca Mediolanum,Carta di credito,No,Sara Pagano,Casa,0855561011,,,,,3777712313,,sara.pagano9@gmail.com,,,,
Privato,,EXT10537,Barbieri Claudio,"Viale Europa, 120",00100,Roma,RM,Lazio,Italia,,BRBCLD90S17H501,,,,,,,Banca Intesa Sanpaolo,PayPal,No,Claudio Barbieri,Casa,0778379211,,,,,3066542736,,claudio.barbieri50@libero.it,,,,
Privato,A,PAZ09119,Martinelli Fabio,"Via Roma, 124",80123,Napoli,NA,Campania,Italia,,MRTFBA00R15F839,,,,,,,Banca Mediolanum,Contanti,Sì,Fabio Martinelli,Casa,0838225521,,,,,3151940595,,fabio.martinelli72@gmail.com,,,,
Privato,B,PAZ07567,Santoro Alberto,"Via Milano, 117",20124,Milano,MI,Lombardia,Italia,,SNTLRT61S03F205,,,,,,,Poste Italiane - BancoPosta,Assegno bancario,No,Alberto Santoro,Casa,0946405432,,,,,3873927230,,alberto.santoro89@gmail.com,,,,
Privato,A,EXT14111,Pagano Martina,"Via della Libertà, 97",20124,Milano,MI,Lombardia,Italia,,PGNMTN90S43F205,,,,,,,UniCredit,RID bancario,Sì,Martina Pagano,Casa,0541161541,,,,,3336216441,,martina.pagano41@libero.it,,,,
Privato,C,PAZ01318,Orlando Simone,"Via Leopardi, 186",10125,Torino,TO,Piemonte,Italia,,RLNSMN58E15L219,,,,,,,Banca Intesa Sanpaolo,Carta di credito,Sì,Simone Orlando,Casa,0474822299,,,,,3952031819,,simone.orlando69@libero.it,,,,
Privato,B,PAZ02730,Ferrari Monica,"Viale Europa, 141",80131,Napoli,NA,Campania,Italia,,FRRMNC91S50F839,,,,,,,Banca Mediolanum,Contanti,Sì,Monica Ferrari,Casa,0814542332,,,,,3737233987,,monica.ferrari33@gmail.com,,,,
Privato,B,EXT10221,Mancini Patrizia,"Corso Umberto I, 114",20121,Milano,MI,Lombardia,Italia,,MNCPRZ54S56F205,,,,,,,Banco BPM,Contanti,Sì,Patrizia Mancini,Casa,0589949118,,,,,3334672877,,patrizia.mancini90@gmail.com,,,,
Privato,,PAZ06290,Grassi Matteo,"Via Matteotti, 144",20125,Milano,MI,Lombardia,Italia,,GRSMTT84M08F205,,,,,,,UniCredit,Bonifico bancario 30gg,No,Matteo Grassi,Casa,0824818477,,,,,3521096812,,matteo.grassi44@libero.it,,,,
Privato,B,EXT10672,Mancini Sergio,"Via Marconi, 84",20125,Milano,MI,Lombardia,Italia,,MNCSRG88L05F205,,,,,,,Banca Mediolanum,Bonifico bancario 30gg,Sì,Sergio Mancini,Casa,0807659518,,,,,3914881045,,sergio.mancini42@gmail.com,,,,
Privato,,EXT13207,Bruno Sofia,"Via IV Novembre, 83",10124,Torino,TO,Piemonte,Italia,,BRNSFO93D45L219,,,,,,,BPER Banca,PayPal,Sì,Sofia Bruno,Casa,0612138182,,,,,3388817776,,sofia.bruno96@libero.it,,,,
Professionista,B,PAZ04879,Pellegrini Rosa,"Piazza del Comune, 103",10123,Torino,TO,Piemonte,Italia,,PLLRSO84H62L219,,,,,,,Poste Italiane - BancoPosta,RID bancario,Sì,Rosa Pellegrini,Casa,0817181001,,,,,3419743442,,rosa.pellegrini48@gmail.com,,,,
Privato,,EXT10423,Piccolo Beatrice,"Via della Repubblica, 100",80122,Napoli,NA,Campania,Italia,,PCCBRC64R65F839,,,,,,,Banca Intesa Sanpaolo,Carta di credito,Sì,Beatrice Piccolo,Casa,0155671586,,,,,3839465914,,beatrice.piccolo49@libero.it,,,,
Privato,A,PAZ09088,Villa Marco,"Via Marconi, 129",84125,Salerno,SA,Campania,Italia,,VLLMRC71A18H703,,,,,,,Banca MPS,Contanti,Sì,Marco Villa,Casa,0195160006,,,,,3778685149,,marco.villa70@gmail.com,,,,
Privato,C,EXT11406,Colombo Salvatore,"Via Milano, 185",84123,Salerno,SA,Campania,Italia,,CLMSVT57D01H703,,,,,,,Poste Italiane - BancoPosta,Carta di credito,No,Salvatore Colombo,Casa,0957972865,,,,,3920379087,,salvatore.colombo13@gmail.com,,,,
Privato,C,EXT13687,Sartori Salvatore,"Via Matteotti, 159",20125,Milano,MI,Lombardia,Italia,,SRTSVT68B18F205,,,,,,,Poste Italiane - BancoPosta,PayPal,No,Salvatore Sartori,Casa,0112547951,,,,,3952931860,,salvatore.sartori51@gmail.com,,,,
Privato,A,PAZ02228,Grassi Enrico,"Via XX Settembre, 82",20124,Milano,MI,Lombardia,Italia,,GRSNRC94L01F205,,,,,,,UniCredit,Bonifico bancario 30gg,No,Enrico Grassi,Casa,0105757019,,,,,3313665238,,enrico.grassi66@libero.it,,,,
Privato,B,PAZ02641,Ferrari Laura,"Corso Umberto I, 160",00136,Roma,RM,Lazio,Italia,,FRRLRA87B46H501,,,,,,,UniCredit,Assegno bancario,No,Laura Ferrari,Casa,0146360661,,,,,3989402774,,laura.ferrari14@gmail.com,,,,
Privato,C,PAZ04418,Silvestri Angelo,"Corso Vittorio Emanuele, 21",20122,Milano,MI,Lombardia,Italia,,SLVNGL66E03F205,,,,,,,Banca Mediolanum,Contanti,Sì,Angelo Silvestri,Casa,0411975465,,,,,3531361338,,angelo.silvestri48@libero.it,,,,
Privato,,PAZ09460,Molinari Andrea,"Via della Repubblica, 30",20121,Milano,MI,Lombardia,Italia,,MLNNDR94S22F205,,,,,,,BPER Banca,Carta di credito,Sì,Andrea Molinari,Casa,0327352462,,,,,3628648507,,andrea.molinari67@libero.it,,,,
Privato,,PAZ06505,Carbone Beatrice,"Via Cavour, 119",00121,Roma,RM,Lazio,Italia,,CRBBRC46M41H501,,,,,,,BPER Banca,Carta di credito,Sì,Beatrice Carbone,Casa,0262471686,,,,,3572595079,,beatrice.carbone47@gmail.com,,,,
Privato,A,PAZ06194,Ricci Sara,"Via Mazzini, 60",10122,Torino,TO,Piemonte,Italia,,RCCSRA49B59L219,,,,,,,Banca MPS,Assegno bancario,Sì,Sara Ricci,Casa,0108453580,,,,,3272624755,,sara.ricci15@gmail.com,,,,
Azienda,,PAZ05921,Fabbri Monica,"Via Dante, 39",00136,Roma,RM,Lazio,Italia,,FBBMNC99S58H501,,,,,,,Banca Mediolanum,Contanti,Sì,Monica Fabbri,Casa,0837658999,,,,,3741579675,,monica.fabbri31@libero.it,,,,
Privato,C,PAZ06872,Cattaneo Vincenzo,"Via Leopardi, 35",20123,Milano,MI,Lombardia,Italia,,CTTVCN99L21F205,,,,,,,UniCredit,PayPal,Sì,Vincenzo Cattaneo,Casa,0541449733,,,,,3412328263,,vincenzo.cattaneo99@gmail.com,,,,
Azienda,C,PAZ00356,Amato Filippo,"Via Matteotti, 103",00136,Roma,RM,Lazio,Italia,,MTAFPP06A06H501,,,,,,,Banco BPM,Carta di credito,Sì,Filippo Amato,Casa,0694953389,,,,,3186443711,,filippo.amato79@libero.it,,,,
Privato,C,PAZ08076,Cattaneo Giorgio,"Via Milano, 79",20125,Milano,MI,Lombardia,Italia,,CTTGRG96C26F205,,,,,,,Banca Intesa Sanpaolo,Contanti,No,Giorgio Cattaneo,Casa,0993022379,,,,,3630109175,,giorgio.cattaneo55@libero.it,,,,
Privato,,EXT11161,Marino Daniele,"Via Marconi, 44",20122,Milano,MI,Lombardia,Italia,,MRNDNL98D25F205,,,,,,,BPER Banca,RID bancario,Sì,Daniele Marino,Casa,0348524973,,,,,3017014526,,daniele.marino88@gmail.com,,,,
Azienda,C,EXT13805,Marino Francesca,"Corso Italia, 157",80132,Napoli,NA,Campania,Italia,,MRNFNC08S46F839,,,,,,,Banco BPM,Contanti,Sì,Francesca Marino,Casa,0151628255,,,,,3424813289,,francesca.marino37@gmail.com,,,,
Professionista,B,PAZ08444,Ruggiero Davide,"Via Milano, 7",20121,Milano,MI,Lombardia,Italia,,RGGDVD00H19F205,,,,,,,Banca Intesa Sanpaolo,RID bancario,No,Davide Ruggiero,Casa,0623782818,,,,,3693220431,,davide.ruggiero71@gmail.com,,,,
